Sub-Category,Region,Sales,Order ID,Ship Mode,Customer ID,Customer Name,Segment,Country/Region,City,State,Product ID,Category,Product Name
Accessories,South,1.584,CA-2019-128363,Standard Class,DC-12850,Dan Campbell,Consumer,United States,Memphis,Tennessee,TEC-AC-10003709,Technology,Maxell 4.7GB DVD-R 5/Pack
Accessories,South,2.3760000000000003,CA-2019-108322,Standard Class,SS-20140,Saphhira Shifley,Corporate,United States,Pompano Beach,Florida,TEC-AC-10003433,Technology,Maxell 4.7GB DVD+R 5/Pack
Accessories,South,4.728,CA-2017-103870,Standard Class,SP-20860,Sung Pak,Corporate,United States,Murfreesboro,Tennessee,TEC-AC-10002370,Technology,Maxell CD-R Discs
Accessories,South,5.95,CA-2016-103807,Standard Class,EM-13825,Elizabeth Moffitt,Corporate,United States,Sandy Springs,Georgia,TEC-AC-10000199,Technology,Kingston Digital DataTraveler 8GB USB 2.0
Accessories,South,11.672,US-2017-106495,First Class,AC-10450,Amy Cox,Consumer,United States,Tampa,Florida,TEC-AC-10002718,Technology,Belkin Standard 104 key USB Keyboard
Accessories,South,15.216000000000001,CA-2016-138527,Standard Class,BN-11470,Brad Norvell,Corporate,United States,Cary,North Carolina,TEC-AC-10002399,Technology,SanDisk Cruzer 32 GB USB Flash Drive
Accessories,South,16.560000000000002,CA-2018-113733,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,Greenville,North Carolina,TEC-AC-10004877,Technology,Imation 30456 USB Flash Drive 8GB
Accessories,South,17.880000000000003,CA-2019-144694,Second Class,BD-11605,Brian Dahlen,Consumer,United States,Miami,Florida,TEC-AC-10002857,Technology,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 1/Pack"
Accessories,South,18,CA-2019-141446,Second Class,CL-12700,Craig Leslie,Home Office,United States,Florence,Kentucky,TEC-AC-10002305,Technology,KeyTronic E03601U1 - Keyboard - Beige
Accessories,South,18.464,CA-2018-133872,First Class,VM-21835,Vivian Mathis,Consumer,United States,Boca Raton,Florida,TEC-AC-10000521,Technology,"Verbatim Slim CD and DVD Storage Cases, 50/Pack"
Accessories,South,18.528000000000002,CA-2019-159100,Standard Class,VP-21760,Victoria Pisteka,Corporate,United States,Columbia,Tennessee,TEC-AC-10003499,Technology,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive
Accessories,South,20.700000000000003,CA-2018-123946,Standard Class,AJ-10795,Anthony Johnson,Corporate,United States,Springfield,Virginia,TEC-AC-10004877,Technology,Imation 30456 USB Flash Drive 8GB
Accessories,South,22.704,CA-2018-156503,Standard Class,NC-18415,Nathan Cano,Consumer,United States,Jacksonville,North Carolina,TEC-AC-10002473,Technology,Maxell 4.7GB DVD-R
Accessories,South,22.96,CA-2016-132010,First Class,MA-17995,Michelle Arnett,Home Office,United States,Richmond,Virginia,TEC-AC-10001542,Technology,SanDisk Cruzer 16 GB USB Flash Drive
Accessories,South,23.08,CA-2019-152968,Standard Class,BM-11785,Bryan Mills,Consumer,United States,Harrisonburg,Virginia,TEC-AC-10000521,Technology,"Verbatim Slim CD and DVD Storage Cases, 50/Pack"
Accessories,South,23.472,CA-2016-142951,Same Day,JG-15115,Jack Garza,Consumer,United States,Charlotte,North Carolina,TEC-AC-10002331,Technology,"Maxell 74 Minute CDR, 10/Pack"
Accessories,South,24,US-2019-166233,Standard Class,MO-17950,Michael Oakman,Consumer,United States,Jacksonville,North Carolina,TEC-AC-10002167,Technology,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive
Accessories,South,25.98,CA-2019-122707,First Class,EB-13750,Edward Becker,Corporate,United States,Hoover,Alabama,TEC-AC-10004227,Technology,SanDisk Ultra 16 GB MicroSDHC Class 10 Memory Card
Accessories,South,26.849999999999998,US-2018-167472,First Class,CK-12595,Clytie Kelty,Consumer,United States,Little Rock,Arkansas,TEC-AC-10003038,Technology,Kingston Digital DataTraveler 16GB USB 2.0
Accessories,South,27.192,CA-2019-151855,Standard Class,BW-11110,Bart Watters,Corporate,United States,Greensboro,North Carolina,TEC-AC-10002380,Technology,Sony 8GB Class 10 Micro SDHC R40 Memory Card
Accessories,South,29,CA-2016-158274,Second Class,RM-19675,Robert Marley,Home Office,United States,Monroe,Louisiana,TEC-AC-10002345,Technology,HP Standard 104 key PS/2 Keyboard
Accessories,South,29,CA-2018-101378,Same Day,RH-19600,Rob Haberlin,Consumer,United States,Huntsville,Alabama,TEC-AC-10002345,Technology,HP Standard 104 key PS/2 Keyboard
Accessories,South,29.99,CA-2017-169740,Standard Class,LM-17065,Liz MacKendrick,Consumer,United States,Hot Springs,Arkansas,TEC-AC-10000927,Technology,Anker Ultrathin Bluetooth Wireless Keyboard Aluminum Cover with Stand
Accessories,South,32.96,CA-2016-114790,Second Class,FM-14215,Filia McAdams,Corporate,United States,Richmond,Kentucky,TEC-AC-10000710,Technology,Maxell DVD-RAM Discs
Accessories,South,32.97,CA-2016-163293,First Class,KC-16255,Karen Carlisle,Corporate,United States,Macon,Georgia,TEC-AC-10004209,Technology,Memorex Froggy Flash Drive 4 GB
Accessories,South,34.95,CA-2019-161053,First Class,JE-15745,Joel Eaton,Consumer,United States,Fayetteville,Arkansas,TEC-AC-10004633,Technology,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack"
Accessories,South,35.168,CA-2018-155138,Standard Class,JM-15580,Jill Matthias,Consumer,United States,Monroe,North Carolina,TEC-AC-10004209,Technology,Memorex Froggy Flash Drive 4 GB
Accessories,South,35.168,CA-2018-166282,Standard Class,PK-19075,Pete Kriz,Consumer,United States,Nashville,Tennessee,TEC-AC-10004209,Technology,Memorex Froggy Flash Drive 4 GB
Accessories,South,41.42400000000001,CA-2019-125752,Standard Class,EH-14125,Eugene Hildebrand,Home Office,United States,Fort Lauderdale,Florida,TEC-AC-10003590,Technology,"TRENDnet 56K USB 2.0 Phone, Internet and Fax Modem"
